"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L126","fActiveTestDeathCount","junit.extensions.ActiveTestSuite.fActiveTestDeathCount;I","L121","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\junit\extensions\ActiveTestSuite.java","15","5","15","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L209","fTimesRepeat","junit.extensions.RepeatedTest.fTimesRepeat;I","L204","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\junit\extensions\RepeatedTest.java","10","5","10","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L240","fTest","junit.extensions.TestDecorator.fTest;Ljunit/framework/Test;","L206","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\junit\extensions\TestDecorator.java","14","5","14","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L553","serialVersionUID","junit.framework.AssertionFailedError.serialVersionUID;J","L329","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\junit\framework\AssertionFailedError.java","8","5","8","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L565","ELLIPSIS","junit.framework.ComparisonCompactor.ELLIPSIS;Ljava/lang/String;","L564","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\junit\framework\ComparisonCompactor.java","5","5","5","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L566","DELTA_END","junit.framework.ComparisonCompactor.DELTA_END;Ljava/lang/String;","L564","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\junit\framework\ComparisonCompactor.java","6","5","6","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L567","DELTA_START","junit.framework.ComparisonCompactor.DELTA_START;Ljava/lang/String;","L564","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\junit\framework\ComparisonCompactor.java","7","5","7","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L568","fContextLength","junit.framework.ComparisonCompactor.fContextLength;I","L564","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\junit\framework\ComparisonCompactor.java","9","5","9","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L569","fExpected","junit.framework.ComparisonCompactor.fExpected;Ljava/lang/String;","L564","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\junit\framework\ComparisonCompactor.java","10","5","10","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L570","fActual","junit.framework.ComparisonCompactor.fActual;Ljava/lang/String;","L564","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\junit\framework\ComparisonCompactor.java","11","5","11","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L571","fPrefix","junit.framework.ComparisonCompactor.fPrefix;I","L564","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\junit\framework\ComparisonCompactor.java","12","5","12","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L572","fSuffix","junit.framework.ComparisonCompactor.fSuffix;I","L564","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\junit\framework\ComparisonCompactor.java","13","5","13","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L609","MAX_CONTEXT_LENGTH","junit.framework.ComparisonFailure.MAX_CONTEXT_LENGTH;I","L359","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\junit\framework\ComparisonFailure.java","9","5","9","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L610","serialVersionUID","junit.framework.ComparisonFailure.serialVersionUID;J","L359","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\junit\framework\ComparisonFailure.java","10","5","10","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L611","fExpected","junit.framework.ComparisonFailure.fExpected;Ljava/lang/String;","L359","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\junit\framework\ComparisonFailure.java","12","5","12","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L612","fActual","junit.framework.ComparisonFailure.fActual;Ljava/lang/String;","L359","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\junit\framework\ComparisonFailure.java","13","5","13","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
